gen,inst,n,pop_size,mutation_rate,best_objective,coverage,time_taken,n_generations,experiment_id
1,1,200,100,0.01,4605.76,1.0,1800,10421,5
1,2,200,100,0.01,4532.0,1.0,1800,11416,5
1,3,50,100,0.01,645.62,1.0,1800,158705,5
1,4,25,100,0.01,261.06,1.0,1800,426008,5
1,5,100,100,0.01,1508.25,1.0,1800,46588,5
2,1,50,100,0.01,575.87,1.0,1800,167840,5
2,2,400,100,0.01,10650.38,1.0,1800,3378,5
2,3,25,100,0.01,210.16,1.0,1800,564660,5
2,4,400,100,0.01,9919.15,1.0,1800,3392,5
2,5,100,100,0.01,1550.49,1.0,1800,42826,5
3,1,400,100,0.01,158934.78,1.0,1801,2056,5
3,2,100,100,0.01,14887.43,1.0,1800,16733,5
3,3,200,100,0.01,59765.97,1.0,1800,5224,5
3,4,25,100,0.01,981.05,1.0,1800,228680,5
3,5,25,100,0.01,766.71,1.0,1800,304184,5
