gen,inst,n,pop_size,mutation_rate,best_objective,coverage,time_taken,n_generations,experiment_id
1,1,200,100,0.01,4562.04,1.0,1800,5244,1
1,2,200,100,0.01,4563.82,1.0,1800,4899,1
1,3,50,100,0.01,645.62,1.0,1800,58413,1
1,4,25,100,0.01,261.06,1.0,1800,151366,1
1,5,100,100,0.01,1509.97,1.0,1800,19429,1
2,1,50,100,0.01,575.87,1.0,1800,70706,1
2,2,400,100,0.01,12697.19,1.0,1801,1443,1
2,3,25,100,0.01,210.16,1.0,1800,266601,1
2,4,400,100,0.01,11877.37,1.0,1800,1520,1
2,5,100,100,0.01,1550.49,1.0,1800,21012,1
3,1,400,100,0.01,209479.75,1.0,1802,739,1
3,2,100,100,0.01,14887.43,1.0,1800,9369,1
3,3,200,100,0.01,59765.97,1.0,1800,2575,1
3,4,25,100,0.01,981.05,1.0,1800,124084,1
3,5,25,100,0.01,766.71,1.0,1800,184756,1
