gen,inst,n,pop_size,mutation_rate,best_objective,coverage,time_taken,n_generations,experiment_id
1,1,200,300,0.01,4507.9,1.0,1800,1601,2
1,2,200,300,0.01,4648.14,1.0,1800,1732,2
1,3,50,300,0.01,645.62,1.0,1800,19466,2
1,4,25,300,0.01,261.06,1.0,1800,48890,2
1,5,100,300,0.01,1525.48,1.0,1800,6883,2
2,1,50,300,0.01,575.87,1.0,1800,23676,2
2,2,400,300,0.01,12101.34,1.0,1802,501,2
2,3,25,300,0.01,210.16,1.0,1800,89114,2
2,4,400,300,0.01,11103.29,1.0,1802,525,2
2,5,100,300,0.01,1532.54,1.0,1800,7014,2
3,1,400,300,0.01,199056.17,1.0,1802,259,2
3,2,100,300,0.01,14887.43,1.0,1800,3132,2
3,3,200,300,0.01,59263.86,1.0,1801,889,2
3,4,25,300,0.01,981.05,1.0,1800,39945,2
3,5,25,300,0.01,766.71,1.0,1800,58364,2
